"Big5 碼",造字圖,"IDS (請參考 http://goo.gl/3D2uoE)","IDS 動態圖片","ref 剎那字引: http://nccu.ksana.tw/kzy/",備註,,
B+926d,"{image: https://g0v.github.io/koktai/img/k/926d.png}",⿸疒忝,"{image: http://漢字.意傳.台灣/宋體/⿸疒忝.png}",,,,
B+9270,"{image: https://g0v.github.io/koktai/img/k/9270.png}",⿰土帝,"{image: http://漢字.意傳.台灣/宋體/⿰土帝.png}",,,,
B+9271,"{image: https://g0v.github.io/koktai/img/k/9271.png}",⿰面力,"{image: http://漢字.意傳.台灣/宋體/⿰面力.png}",,,,
B+9277,"{image: https://g0v.github.io/koktai/img/k/9277.png}",⿰齒契,"{image: http://漢字.意傳.台灣/宋體/⿰齒契.png}",,,,
B+9279,"{image: https://g0v.github.io/koktai/img/k/9279.png}",⿰月米,"{image: http://漢字.意傳.台灣/宋體/⿰月米.png}",,,,
B+927b,"{image: https://g0v.github.io/koktai/img/k/927b.png}",⿰火末,"{image: http://漢字.意傳.台灣/宋體/⿰火末.png}",,,,
B+927c,"{image: https://g0v.github.io/koktai/img/k/927c.png}",⿰口⿱艹干,"{image: http://漢字.意傳.台灣/宋體/⿰口⿱艹干.png}",,,,
B+92a1,"{image: https://g0v.github.io/koktai/img/k/92a1.png}",⿱白儿,"{image: http://漢字.意傳.台灣/宋體/⿱白儿.png}",,,,
B+9348,"{image: https://g0v.github.io/koktai/img/k/9348.png}",⿰亻⿸广匕,"{image: http://漢字.意傳.台灣/宋體/⿰亻⿸广匕.png}",,,,
B+934c,"{image: https://g0v.github.io/koktai/img/k/934c.png}",⿰扌奴,"{image: http://漢字.意傳.台灣/宋體/⿰扌奴.png}",,,,
B+9356,"{image: https://g0v.github.io/koktai/img/k/9356.png}",⿰亻么,"{image: http://漢字.意傳.台灣/宋體/⿰亻么.png}",,,,
B+935a,"{image: https://g0v.github.io/koktai/img/k/935a.png}",⿰月翠,"{image: http://漢字.意傳.台灣/宋體/⿰月翠.png}",,,,
B+93fb,"{image: https://g0v.github.io/koktai/img/k/93fb.png}",,"{image: http://漢字.意傳.台灣/宋體/.png}",,一樣的問題，這個要確定現在的unicode有沒有這個部件了,,
B+9446,"{image: https://g0v.github.io/koktai/img/k/9446.png}",⿺毛占,"{image: http://漢字.意傳.台灣/宋體/⿺毛占.png}",,,,
B+944c,"{image: https://g0v.github.io/koktai/img/k/944c.png}",⿰勿曾,"{image: http://漢字.意傳.台灣/宋體/⿰勿曾.png}",,,,
B+944e,"{image: https://g0v.github.io/koktai/img/k/944e.png}",⿰扌桼,"{image: http://漢字.意傳.台灣/宋體/⿰扌桼.png}",,,,
B+94c1,"{image: https://g0v.github.io/koktai/img/k/94c1.png}",⿰羽孚,"{image: http://漢字.意傳.台灣/宋體/⿰羽孚.png}",,,,
B+94ea,"{image: https://g0v.github.io/koktai/img/k/94ea.png}",⿰口貌,"{image: http://漢字.意傳.台灣/宋體/⿰口貌.png}",,,,
B+94f9,"{image: https://g0v.github.io/koktai/img/k/94f9.png}",⿱差錯,"{image: http://漢字.意傳.台灣/宋體/⿱差錯.png}",,,,
B+9549,"{image: https://g0v.github.io/koktai/img/k/9549.png}",⿸圡,"{image: http://漢字.意傳.台灣/宋體/⿸圡.png}",,這個也有點棘手，不知有無左上半部的部件。,,
B+954e,"{image: https://g0v.github.io/koktai/img/k/954e.png}",⿰香歹,"{image: http://漢字.意傳.台灣/宋體/⿰香歹.png}",,,,
B+9550,"{image: https://g0v.github.io/koktai/img/k/9550.png}",⿸⿵冂一,"{image: http://漢字.意傳.台灣/宋體/⿸⿵冂一.png}",,左上方部件好像也沒有,,
B+9552,"{image: https://g0v.github.io/koktai/img/k/9552.png}",⿰扌豕,"{image: http://漢字.意傳.台灣/宋體/⿰扌豕.png}",,,,
B+9554,"{image: https://g0v.github.io/koktai/img/k/9554.png}",⿰舌丹,"{image: http://漢字.意傳.台灣/宋體/⿰舌丹.png}",,,,
B+9556,"{image: https://g0v.github.io/koktai/img/k/9556.png}",⿰祟蚤,"{image: http://漢字.意傳.台灣/宋體/⿰祟蚤.png}",,,,
B+9568,"{image: https://g0v.github.io/koktai/img/k/9568.png}",⿰⻊不,"{image: http://漢字.意傳.台灣/宋體/⿰⻊不.png}",,,,
B+956d,"{image: https://g0v.github.io/koktai/img/k/956d.png}",⿱⺮排,"{image: http://漢字.意傳.台灣/宋體/⿱⺮排.png}",,,,
B+9571,"{image: https://g0v.github.io/koktai/img/k/9571.png}",⿰扌⿺尤彡,"{image: http://漢字.意傳.台灣/宋體/⿰扌⿺尤彡.png}",,,,
B+9649,"{image: https://g0v.github.io/koktai/img/k/9649.png}",亏,"{image: http://漢字.意傳.台灣/宋體/亏.png}",,,,
B+96a5,"{image: https://g0v.github.io/koktai/img/k/96a5.png}",⿰奚刂,"{image: http://漢字.意傳.台灣/宋體/⿰奚刂.png}",,,,
B+96b1,"{image: https://g0v.github.io/koktai/img/k/96b1.png}",⿸疒念,"{image: http://漢字.意傳.台灣/宋體/⿸疒念.png}",,,,
B+96b4,"{image: https://g0v.github.io/koktai/img/k/96b4.png}",⿸厂⿰屰刂,"{image: http://漢字.意傳.台灣/宋體/⿸厂⿰屰刂.png}",,,,
B+96c4,"{image: https://g0v.github.io/koktai/img/k/96c4.png}",⿰骨帝,"{image: http://漢字.意傳.台灣/宋體/⿰骨帝.png}",,,,
B+96d6,"{image: https://g0v.github.io/koktai/img/k/96d6.png}",⿱髟魚,"{image: http://漢字.意傳.台灣/宋體/⿱髟魚.png}",,,,
B+96e9,"{image: https://g0v.github.io/koktai/img/k/96e9.png}",⿰言秦,"{image: http://漢字.意傳.台灣/宋體/⿰言秦.png}",,,,
B+96fd,"{image: https://g0v.github.io/koktai/img/k/96fd.png}",⿱讎言,"{image: http://漢字.意傳.台灣/宋體/⿱讎言.png}",,,,
B+976a,"{image: https://g0v.github.io/koktai/img/k/976a.png}",⿰黑宅,"{image: http://漢字.意傳.台灣/宋體/⿰黑宅.png}",,,,
B+9777,"{image: https://g0v.github.io/koktai/img/k/9777.png}",⿺辶⿰氵卯,"{image: http://漢字.意傳.台灣/宋體/⿺辶⿰氵卯.png}",,,,
B+9779,"{image: https://g0v.github.io/koktai/img/k/9779.png}",⿰唐阝,"{image: http://漢字.意傳.台灣/宋體/⿰唐阝.png}",,,,
B+97a3,"{image: https://g0v.github.io/koktai/img/k/97a3.png}",⿱臥⿷匚虎,"{image: http://漢字.意傳.台灣/宋體/⿱臥⿷匚虎.png}",,,,
B+97bd,"{image: https://g0v.github.io/koktai/img/k/97bd.png}",⿰亢喬,"{image: http://漢字.意傳.台灣/宋體/⿰亢喬.png}",,,,
B+97cb,"{image: https://g0v.github.io/koktai/img/k/97cb.png}",⿱臥⿸厂虎,"{image: http://漢字.意傳.台灣/宋體/⿱臥⿸厂虎.png}",,,,
B+97d4,"{image: https://g0v.github.io/koktai/img/k/97d4.png}",⿱臥虒,"{image: http://漢字.意傳.台灣/宋體/⿱臥虒.png}",,,,
B+97de,"{image: https://g0v.github.io/koktai/img/k/97de.png}",⿰口⿱⿱十冖是,"{image: http://漢字.意傳.台灣/宋體/⿰口⿱⿱十冖是.png}",,,,
B+97e0,"{image: https://g0v.github.io/koktai/img/k/97e0.png}",⿰釒片,"{image: http://漢字.意傳.台灣/宋體/⿰釒片.png}",,,,
B+97ef,"{image: https://g0v.github.io/koktai/img/k/97ef.png}",⿰口心,"{image: http://漢字.意傳.台灣/宋體/⿰口心.png}",,,,
B+97f1,"{image: https://g0v.github.io/koktai/img/k/97f1.png}",⿰飠它,"{image: http://漢字.意傳.台灣/宋體/⿰飠它.png}",,,,
B+9840,"{image: https://g0v.github.io/koktai/img/k/9840.png}",⿱⿱⿱⿰口口田一,"{image: http://漢字.意傳.台灣/宋體/⿱⿱⿱⿰口口田一.png}",,這個得找最下面烏龜的異寫「亀」的底下部件了,,
B+9853,"{image: https://g0v.github.io/koktai/img/k/9853.png}",⿸人,"{image: http://漢字.意傳.台灣/宋體/⿸人.png}",,,,
B+9854,"{image: https://g0v.github.io/koktai/img/k/9854.png}",⿰革充,"{image: http://漢字.意傳.台灣/宋體/⿰革充.png}",,,,
B+9858,"{image: https://g0v.github.io/koktai/img/k/9858.png}",⿰石㒰,"{image: http://漢字.意傳.台灣/宋體/⿰石㒰.png}",,,,
